country_id,month_id,country,gwcode,isoab,year,month,surrogate_mean_dem_ln,surrogate_mean_imr,surrogate_mean_pop_ln,surrogate_mean_imr_ln,surrogate_mean_pop,main_mean,main_dich,surrogate_mean_dem,surrogate_mean_nch_ln,surrogate_mean_ch,main_mean_ln,surrogate_mean_ch_ln,surrogate_mean_nch
103,548,Slovenia,349,SVN,2025,8,0.1291,0.062,0.1426,0.0601,0.1533,0.0011,0.003,0.1378,0.0993,0.073,0.0011,0.0705,0.1044
104,548,Belgium,211,BEL,2025,8,-0.0007,0.0868,0.4156,0.0832,0.5152,0.0023,0.003,-0.0007,0.0993,0.073,0.0023,0.0705,0.1044
105,548,France,220,FRA,2025,8,0.0041,0.0954,1.551,0.0911,3.716,0.0022,0.003,0.0041,0.0993,0.073,0.0022,0.0705,0.1044
107,548,Luxembourg,212,LUX,2025,8,0.0182,0.066,0.0999,0.0639,0.1051,0.0007,0.003,0.0184,0.0993,0.073,0.0007,0.0705,0.1044
108,548,Netherlands,210,NLD,2025,8,0.04,0.0976,0.5744,0.0931,0.7761,0.002,0.003,0.0409,0.0993,0.073,0.002,0.0705,0.1044
109,548,Switzerland,225,CHE,2025,8,-0.0214,0.0976,0.3385,0.0931,0.4029,0.0008,0.003,-0.0211,0.0993,0.073,0.0008,0.0705,0.1044
110,548,Belarus,370,BLR,2025,8,0.6588,0.064,0.3412,0.062,0.4067,0.0129,0.0031,0.9325,1.0549,0.073,0.0128,0.0705,1.8717
111,548,Estonia,366,EST,2025,8,-0.0218,0.058,0.1204,0.0564,0.128,0.0026,0.003,-0.0216,0.3298,0.073,0.0026,0.0705,0.3907
112,548,Finland,375,FIN,2025,8,0.0017,0.062,0.2437,0.0601,0.276,0.0019,0.003,0.0017,0.3298,0.073,0.0019,0.0705,0.3907
113,548,Latvia,367,LVA,2025,8,0.0359,0.0762,0.1349,0.0735,0.1444,0.0033,0.003,0.0366,0.3298,0.073,0.0033,0.0705,0.3907
114,548,Lithuania,368,LTU,2025,8,0.068,0.0825,0.1648,0.0793,0.1792,0.0043,0.0031,0.0704,0.3298,0.073,0.0043,0.0705,0.3907
115,548,Moldova,359,MDA,2025,8,0.1663,0.3836,0.1503,0.3247,0.1621,0.0026,0.003,0.1809,0.3298,0.073,0.0026,0.0705,0.3907
116,548,Romania,360,ROU,2025,8,0.3279,0.1415,0.6014,0.1323,0.8247,0.0031,0.003,0.388,0.3312,0.073,0.003,0.0705,0.3926
117,548,Ukraine,369,UKR,2025,8,1.3106,0.2035,1.0274,0.1852,1.7939,2970.8052,0.9998,2.7083,0.3298,1624.2678,7.9969,7.3934,0.3907
118,548,Maldives,781,MDV,2025,8,0.4144,0.1319,0.0955,0.1239,0.1002,0.0013,0.003,0.5135,0.0993,0.073,0.0013,0.0705,0.1044
119,548,Oman,698,OMN,2025,8,1.3032,0.2202,0.2336,0.199,0.2632,0.0116,0.0031,2.6809,0.987,0.073,0.0116,0.0705,1.6831
120,548,Somalia,520,SOM,2025,8,1.2575,7.5859,0.5999,2.1501,0.8219,309.2254,0.99,2.5166,1.0572,194.8136,5.7373,5.2772,1.8782
121,548,Sri Lanka,780,LKA,2025,8,0.2159,0.1391,0.6714,0.1302,0.957,0.0029,0.003,0.2409,0.0993,0.073,0.0029,0.0705,0.1044
122,548,Turkmenistan,701,TKM,2025,8,0.6293,1.3567,0.2959,0.8572,0.3444,0.0058,0.0031,0.8763,1.058,0.073,0.0058,0.0705,1.8807
123,548,Uzbekistan,704,UZB,2025,8,1.0057,0.3553,0.9965,0.304,1.7088,0.0072,0.0031,1.7339,1.2817,0.073,0.0072,0.0705,2.6028
124,548,Yemen,678,YEM,2025,8,0.7615,1.6527,1.0823,0.9756,1.9514,68.3406,0.874,1.1414,0.2856,32.9433,4.239,3.5247,0.3306
125,548,Armenia,371,ARM,2025,8,0.4545,0.2345,0.169,0.2107,0.1841,0.0457,0.0033,0.5754,1.2987,0.073,0.0446,0.0705,2.6645
126,548,Azerbaijan,373,AZE,2025,8,0.8224,0.3765,0.3704,0.3195,0.4484,0.4653,0.006,1.276,1.9499,0.073,0.3821,0.0705,6.0282
127,548,Bahrain,692,BHR,2025,8,0.8053,0.1873,0.1268,0.1716,0.1352,0.0029,0.003,1.2375,0.0993,0.073,0.0029,0.0705,0.1044
